,0
0,Alabama
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Idaho
8,Indiana
9,Iowa
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Missouri
19,Montana
20,Nebraska
21,New Hampshire
22,New Jersey
23,Oklahoma
24,Oregon
25,Pennsylvania
26,Rhode Island
27,Tennessee
28,Utah
29,Vermont
30,Virginia
31,West Virginia
32,Wisconsin
33,Wyoming
